id,Movie Name,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1036,Omen. The (1976),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1037,Blood and Wine (Blood & Wine) (1996),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1038,Albino Alligator (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1039,Mirror Has Two Faces. The (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1040,Breaking the Waves (1996),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1041,Nightwatch (1997),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1042,Star Trek: First Contact (1996),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1043,Shine (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1044,Sling Blade (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1045,Jingle All the Way (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,Paradise Lost: The Child Murders at Robin Hood Hills (1996),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1047,Preacher's Wife. The (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1048,Ridicule (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1049,Crucible. The (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1050,101 Dalmatians (1996),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,Die Hard 2 (1990),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1052,Star Trek: The Motion Picture (1979),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1053,Star Trek VI: The Undiscovered Country (1991),1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1054,Star Trek V: The Final Frontier (1989),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1055,Star Trek II: The Wrath of Khan (1982),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1056,Star Trek III: The Search for Spock (1984),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1057,Star Trek IV: The Voyage Home (1986),0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1058,Batman Returns (1992),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1059,Young Guns (1988),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1060,Young Guns II (1990),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1061,Grease (1978),0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1062,Grease 2 (1982),0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1063,Marked for Death (1990),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1064,Under Siege (1992),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1065,Jaws (1975),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1066,Jaws 2 (1978),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1067,Jaws 3-D (1983),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1068,My Fellow Americans (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,Mars Attacks! (1996),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1070,Citizen Ruth (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1071,Jerry Maguire (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1072,Raising Arizona (1987),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,Tin Men (1987),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1074,Sneakers (1992),1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1075,Bastard Out of Carolina (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1076,In Love and War (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1077,Marvin's Room (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1078,Ghosts of Mississippi (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1079,Beavis and Butt-Head Do America (1996),0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1080,La Cérémonie (1995),0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1081,Scream (1996),0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1082,Last of the Mohicans. The (1992),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1083,Michael (1996),0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
1084,Hamlet (1996),0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1085,Some Mother's Son (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1086,Whole Wide World. The (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1087,Mother (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,Thieves (Voleurs. Les) (1996),0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1089,Evita (1996),0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1090,Portrait of a Lady. The (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1091,Walkabout (1971),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1092,Murder at 1600 (1997),0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1093,Hearts and Minds (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1094,Fierce Creatures (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,Zeus and Roxanne (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,Turbulence (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1097,Angel Baby (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1098,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1099,Underworld (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1100,Beverly Hills Ninja (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,Metro (1997),1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
1102,Cement Garden. The (1993),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1103,Dante's Peak (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1104,Meet Wally Sparks (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,Amos & Andrew (1993),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,Benny & Joon (1993),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1107,Prefontaine (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1108,McHale's Navy (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1109,Kolya (Kolja) (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1110,Gridlock'd (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1111,Waiting for Guffman (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,Beautician and the Beast. The (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1113,SubUrbia (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1114,Pest. The (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,Fools Rush In (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1116,Touch (1997),0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1117,Absolute Power (1997),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1118,That Darn Cat (1997),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1119,Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,Lost Highway (1997),0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
1121,Rosewood (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1122,Donnie Brasco (1997),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1123,Booty Call (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1124,Best Men (1997),1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1125,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,Kama Sutra: A Tale of Love (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1127,Private Parts (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1128,Love Jones (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1129,Saint. The (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1130,Smilla's Sense of Snow (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1131,Crash (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1132,Daytrippers. The (1996),0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
1133,Liar Liar (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,Selena (1997),0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1135,Devil's Own. The (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1136,Cats Don't Dance (1997),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1137,B*A*P*S (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,Love and Other Catastrophes (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1139,Turbo: A Power Rangers Movie (1997),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,Anna Karenina (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1141,Double Team (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,Inventing the Abbotts (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1143,Anaconda (1997),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1144,Grosse Pointe Blank (1997),0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1145,Kissed (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1146,8 Heads in a Duffel Bag (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,Paradise Road (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1148,Romy and Michele's High School Reunion (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,Temptress Moon (Feng Yue) (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1150,Volcano (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1151,Children of the Revolution (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,Austin Powers: International Man of Mystery (1997),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,Breakdown (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1154,Broken English (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1155,Fathers' Day (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,Fifth Element. The (1997),1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1157,Nowhere (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1158,Promise. The (La promesse) (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1159,Shall We Dance? (Shall We Dansu?) (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1160,Addicted to Love (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1161,Brassed Off (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1162,Lost World: Jurassic Park. The (1997),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1163,Ponette (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1164,Schizopolis (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,Shiloh (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1166,Rough Magic (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1167,Trial and Error (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1168,Buddy (1997),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1169,Con Air (1997),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1170,Pillow Book. The (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1171,Speed 2: Cruise Control (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1172,Batman & Robin (1997),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1173,For Roseanna (Roseanna's Grave) (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1174,Head Above Water (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1175,Hercules (1997),0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1176,My Best Friend's Wedding (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1177,When the Cat's Away (Chacun cherche son chat) (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1178,Contempt (Mépris. Le) (1963),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1179,Face/Off (1997),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1180,Fall (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1181,Men in Black (a.k.a. MIB) (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1182,Out to Sea (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,Wild America (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,Simple Wish. A (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1185,Contact (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1186,Love Serenade (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,G.I. Jane (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1188,Conan the Barbarian (1982),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1189,George of the Jungle (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,Cop Land (1997),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1191,Event Horizon (1997),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1192,Spawn (1997),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1193,Air Bud (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,Picture Perfect (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1195,In the Company of Men (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1196,Career Girls (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1197,Conspiracy Theory (1997),0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1198,Desperate Measures (1998),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1199,Steel (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,She's So Lovely (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1201,Hoodlum (1997),0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1202,Leave It to Beaver (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,Mimic (1997),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1204,Money Talks (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,Excess Baggage (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1206,Kull the Conqueror (1997),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,Air Force One (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1208,187 (One Eight Seven) (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1209,Hunt for Red October. The (1990),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1210,My Own Private Idaho (1991),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1211,Kiss Me. Guido (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,Star Maps (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1213,In & Out (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,Edge. The (1997),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1215,Peacemaker. The (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1216,L.A. Confidential (1997),0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1217,Seven Years in Tibet (1997),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1218,Kiss the Girls (1997),0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1219,Soul Food (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1220,Wishmaster (1997),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1221,Thousand Acres. A (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1222,Game. The (1997),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1223,Fire Down Below (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1224,U Turn (1997),0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1225,MatchMaker. The (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1226,Assignment. The (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1227,Ulee's Gold (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1228,Ice Storm. The (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1229,Chasing Amy (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1230,Full Monty. The (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1231,Indian Summer (a.k.a. Alive & Kicking) (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1232,Mrs. Brown (a.k.a. Her Majesty. Mrs. Brown) (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1233,I Know What You Did Last Summer (1997),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1234,The Devil's Advocate (1997),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1235,RocketMan (a.k.a. Rocket Man) (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1236,Playing God (1997),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1237,House of Yes. The (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1238,Fast. Cheap & Out of Control (1997),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1239,Washington Square (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1240,Year of the Horse (1997),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1241,Gattaca (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1242,FairyTale: A True Story (1997),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1243,Phantoms (1998),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1244,Swept from the Sea (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1245,Life Less Ordinary. A (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1246,Hurricane Streets (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1247,Eve's Bayou (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1248,Switchback (1997),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1249,Gang Related (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1250,Stripes (1981),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1251,Bean (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,Mad City (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1253,Welcome to Sarajevo (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1254,Deceiver (1997),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1255,Rainmaker. The (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1256,Boogie Nights (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1257,Witness (1985),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1258,Incognito (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1259,Starship Troopers (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1260,Critical Care (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1261,Joy Luck Club. The (1993),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1262,Chairman of the Board (1998),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,Sliding Doors (1998),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1264,Mortal Kombat: Annihilation (1997),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1265,Truman Show. The (1998),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1266,Wings of the Dove. The (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1267,Mrs. Dalloway (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1268,I Love You. I Love You Not (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1269,Red Corner (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1270,Jackal. The (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1271,Anastasia (1997),0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1272,Man Who Knew Too Little. The (1997),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1273,Alien: Resurrection (1997),1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1274,Amistad (1997),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1275,Apostle. The (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1276,Artemisia (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1277,Bent (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1278,Butcher Boy. The (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1279,Deconstructing Harry (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1280,Flubber (1997),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1281,For Richer or Poorer (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,Good Will Hunting (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1283,Home Alone 3 (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,Midnight in the Garden of Good and Evil (1997),0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1285,Mouse Hunt (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,Scream 2 (1997),0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1287,Stranger in the House (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1288,Sweet Hereafter. The (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1289,Titanic (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1290,Tomorrow Never Dies (1997),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1291,Postman. The (1997),1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1292,Horse Whisperer. The (1998),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1293,Jackie Brown (1997),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1294,Kundun (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1295,Mr. Magoo (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,Big Lebowski. The (1998),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1297,Afterglow (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1298,My Life in Pink (Ma vie en rose) (1997),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1299,Great Expectations (1998),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1300,3 Ninjas: High Noon On Mega Mountain (1998),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,Senseless (1998),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,Wag the Dog (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,Dark City (1998),0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1304,Hard Rain (1998),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1305,Half Baked (1998),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,Fallen (1998),0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
1307,Shooting Fish (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
